f,f_unc,v,v_unc,v_r,v_r_unc,v_c,v_c_unc
100,0.2,20.2,0.2,1.50,0.02,20.0,0.2
200,0.2,20.4,0.2,2.92,0.04,20.0,0.2
300,0.3,20.4,0.2,4.36,0.04,19.8,0.2
400,0.6,20.4,0.2,5.80,0.04,19.8,0.2
500,0.1,20.4,0.2,7.00,0.2,19.0,0.2
600,1.5,20.4,0.2,8.20,0.2,18.4,0.2
700,2.0,20.4,0.2,9.20,0.2,18.0,0.2
800,1.3,20.2,0.2,10.2,0.2,17.6,0.2
900,0.8,20.2,0.2,11.0,0.2,16.8,0.2
1000,2,20.2,0.2,11.8,0.2,16.4,0.2
1101,2,20.2,0.2,12.6,0.2,15.8,0.2
1199,3,20.2,0.2,13.2,0.2,15.2,0.2
1302,3,20.2,0.2,13.8,0.2,14.8,0.2
1601,2,20.2,0.2,15.2,0.2,13.2,0.2
1901,2,20.2,0.2,16.2,0.2,12.0,0.2
2199,6,20.2,0.2,17.0,0.2,10.8,0.2
2500,6,20.2,0.2,17.6,0.2,9.8,0.2
3503,6,20.2,0.2,18.6,0.2,7.6,0.2
4999,10,20.6,0.2,19.6,0.2,6.4,0.2
5510,10,20.6,0.2,19.8,0.2,5.4,0.2
