f,t1,t2,t1_unc,t2_unc
100,0,2.36,0.04,0.04
200,0,1.12,0.04,0.04
300,0,0.78,0.04,0.02
400,0.08,0.58,0.02,0.02
500,0.06,0.48,0.02,0.02
600,0.088,0.392,0.004,0.004
700,0.088,0.340,0.004,0.004
800,0.092,0.292,0.002,0.004
900,0.084,0.260,0.002,0.004
1000,0.088,0.236,0.002,0.004
1100,0.082,0.218,0.002,0.002
1200,0.082,0.202,0.002,0.002
1300,0.078,0.182,0.002,0.002
1400,0.076,0.168,0.002,0.002
1500,0.064,0.156,0.002,0.002
1600,0.066,0.148,0.002,0.002
1700,0.066,0.134,0.002,0.002
1800,0.068,0.126,0.002,0.002
1900,0.077,0.131,0.001,0.001
2000,0.0308,0.080,0.0004,0.0004
